image_id,split,image_path,lcd_screen_value
P_to_E__WhatsApp_Image_2025-07-09_at_10_45_02_AM_jpeg_708e2f2f,val,images/val/P_to_E__WhatsApp_Image_2025-07-09_at_10_45_02_AM_jpeg_708e2f2f.jpeg,220
P_to_E__WhatsApp_Image_2025-07-09_at_10_45_00_AM_jpeg_43e6adfb,val,images/val/P_to_E__WhatsApp_Image_2025-07-09_at_10_45_00_AM_jpeg_43e6adfb.jpeg,232
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_2_jpeg_08380a01,val,images/val/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_2_jpeg_08380a01.jpeg,002
N_to_E__N_to_E_JPG_96127488,val,images/val/N_to_E__N_to_E_JPG_96127488.jpg,002
P_to_E__WhatsApp_Image_2025-07-09_at_10_45_00_AM_2_jpeg_2160fe67,val,images/val/P_to_E__WhatsApp_Image_2025-07-09_at_10_45_00_AM_2_jpeg_2160fe67.jpeg,247
P_to_N__P_to_N_jpeg_2991eec4,val,images/val/P_to_N__P_to_N_jpeg_2991eec4.jpeg,182
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_32_AM_1_jpeg_9c520b1c,val,images/val/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_32_AM_1_jpeg_9c520b1c.jpeg,223
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_07_PM_jpeg_aeb12d94,val,images/val/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_07_PM_jpeg_aeb12d94.jpeg,005
P_to_N__P_to_N_2_jpeg_5a1c3a46,val,images/val/P_to_N__P_to_N_2_jpeg_5a1c3a46.jpeg,245
N_to_E__N_to_E_2_jpeg_15cd43e3,val,images/val/N_to_E__N_to_E_2_jpeg_15cd43e3.jpeg,002
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_29_AM_jpeg_3823eaf0,val,images/val/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_29_AM_jpeg_3823eaf0.jpeg,224
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_30_AM_1_jpeg_ce75ba76,val,images/val/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_30_AM_1_jpeg_ce75ba76.jpeg,215
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_1_jpeg_394e540e,val,images/val/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_1_jpeg_394e540e.jpeg,001
P_to_E__WhatsApp_Image_2025-07-09_at_10_44_58_AM_1_jpeg_0ad3c31b,val,images/val/P_to_E__WhatsApp_Image_2025-07-09_at_10_44_58_AM_1_jpeg_0ad3c31b.jpeg,211
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_3_jpeg_368bbca4,val,images/val/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_20_PM_3_jpeg_368bbca4.jpeg,001
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_41_AM_1_jpeg_8cdf95f9,val,images/val/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_41_AM_1_jpeg_8cdf95f9.jpeg,001
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_29_AM_1_jpeg_7a2ba6ae,val,images/val/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_29_AM_1_jpeg_7a2ba6ae.jpeg,213
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_33_AM_1_jpeg_281b3f9d,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_33_AM_1_jpeg_281b3f9d.jpeg,223
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_18_PM_1_jpeg_83733e70,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_18_PM_1_jpeg_83733e70.jpeg,001
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_19_PM_jpeg_2557082f,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_19_PM_jpeg_2557082f.jpeg,002
P_to_N__P_to_N_JPG_090bd398,train,images/train/P_to_N__P_to_N_JPG_090bd398.jpg,245
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_42_AM_2_jpeg_547555a9,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_42_AM_2_jpeg_547555a9.jpeg,001
P_to_E__WhatsApp_Image_2025-07-09_at_10_44_59_AM_1_jpeg_d6b599a9,train,images/train/P_to_E__WhatsApp_Image_2025-07-09_at_10_44_59_AM_1_jpeg_d6b599a9.jpeg,211
P_to_E__P_to_E_JPG_5e046aab,train,images/train/P_to_E__P_to_E_JPG_5e046aab.jpg,244
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_32_AM_2_jpeg_4c9fb5a8,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_32_AM_2_jpeg_4c9fb5a8.jpeg,249
P_to_E__P_to_E_1_JPG_c1e08319,train,images/train/P_to_E__P_to_E_1_JPG_c1e08319.jpg,217
earthing_values__earthing_value_JPG_8434643f,train,images/train/earthing_values__earthing_value_JPG_8434643f.jpg,001
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_3_jpeg_98c0624b,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_3_jpeg_98c0624b.jpeg,003
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_jpeg_b3d1063c,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_43_AM_jpeg_b3d1063c.jpeg,001
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_44_AM_2_jpeg_9733498f,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_44_AM_2_jpeg_9733498f.jpeg,002
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_39_AM_jpeg_afc360e7,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_39_AM_jpeg_afc360e7.jpeg,003
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_jpeg_1e43c987,train,images/train/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_08_PM_jpeg_1e43c987.jpeg,005
earthing_values__WhatsApp_Image_2025-07-11_at_8_18_07_PM_1_jpeg_750fef22,train,images/train/earthing_values__WhatsApp_Image_2025-07-11_at_8_18_07_PM_1_jpeg_750fef22.jpeg,002
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_45_AM_jpeg_3c707235,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_45_AM_jpeg_3c707235.jpeg,001
P_to_N__WhatsApp_Image_2025-07-09_at_10_51_26_AM_jpeg_5a19d5b9,train,images/train/P_to_N__WhatsApp_Image_2025-07-09_at_10_51_26_AM_jpeg_5a19d5b9.jpeg,226
earthing_values__WhatsApp_Image_2025-07-09_at_12_01_17_PM_jpeg_495c4470,train,images/train/earthing_values__WhatsApp_Image_2025-07-09_at_12_01_17_PM_jpeg_495c4470.jpeg,001
N_to_E__WhatsApp_Image_2025-07-09_at_10_38_41_AM_jpeg_70a90b41,train,images/train/N_to_E__WhatsApp_Image_2025-07-09_at_10_38_41_AM_jpeg_70a90b41.jpeg,001
